"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","11.0","","","","1"
"2020","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","10.3","","","","1"
"2021","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","10.9","","","","1"
"2022","Prince Edward Island","2016A000211","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063543410","3.8.2.1","8.2","","","","1"
"1990","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","15.0","","","","1"
"1991","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","16.3","","","","1"
"1992","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","16.6","","","","1"
"1993","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","16.4","","","","1"
"1994","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","15.8","","","","1"
"1995","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","13.3","","","","1"
"1996","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","15.0","","","","1"
"1997","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","13.9","","","","1"
"1998","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","13.0","","","","1"
"1999","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","13.8","","","","1"
"2000","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","11.1","","","","1"
"2001","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","11.0","","","","1"
"2002","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","11.0","","","","1"
"2003","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","10.0","","","","1"
"2004","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","10.4","","","","1"
"2005","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.0","","","","1"
